lr_val,loss_val,accuracy_val,precision_val,recall_val
3.448083271625005e-05,4.769909843956072,0.019112406867508907,0.001374202886633475,0.013597674003753857
7.617587656369998e-05,4.747883074062386,0.016844833171363784,0.0011850867857421093,0.013663013231978749
0.000140053640250253,4.645378864917559,0.026886945254292194,0.007653725079839252,0.02625774812974812
0.0002184057636906329,4.478403951703887,0.035633300939423386,0.02009454652270255,0.03539513243761593
0.0003017772136139804,4.317944804417718,0.050858438613540655,0.021497025007179555,0.04878251687242028
0.0003801072565232022,4.347182468040702,0.056365403304178816,0.028807013831011266,0.05581890766401602
0.0004439435236847555,4.092473054669567,0.0741820537738905,0.07297352625974465,0.07322895900682741
0.00048558266254867106,3.9523771104124403,0.09491415613864594,0.08019450256235884,0.09064254063086945
0.0004999999862464015,3.838291374678464,0.11273080660835763,0.09912137345893565,0.1088659517745298
0.0004971953446014798,3.697968886070645,0.1383219954648526,0.14271637828078568,0.13682642064294753
0.0004888687897745193,3.7417106407204854,0.13508260447035958,0.15148212996021454,0.13479437639566683
0.00047520632324113665,3.639369551668462,0.15030774214447684,0.1777751309570682,0.15307277588157842
0.00045651314192714134,3.57528265726935,0.18982831227729188,0.19243179008448613,0.189465767737312
0.0004332068206135357,3.43962544510045,0.20829284094590217,0.2242875264006232,0.20396129219927756
0.00040580798400592904,3.491956071755321,0.20634920634920634,0.2314182062931712,0.20383572490474092
0.0003749286768389207,3.645776839600396,0.20894071914480078,0.21695114186019063,0.20854156189439071
0.00034125869180810266,3.7387448168292488,0.21315192743764172,0.24554562226253757,0.2104768996967735
0.00030555016074108784,3.887056822629319,0.2095885973436994,0.21808079542418363,0.21043286420655752
0.000268600753215342,4.140077930135825,0.20861678004535147,0.21941164574996902,0.20845588363026904
0.0002312358579379325,4.2435548158036065,0.21477162293488825,0.2382282718932794,0.21389712849390938
0.00019429014492572578,4.30332768332098,0.21541950113378686,0.22960259355812151,0.21574157631562668
0.00015858892035646146,4.462503445517156,0.21347586653709102,0.22830007679243405,0.21504202799681404
0.00012492969059251942,4.504745837339421,0.21768707482993196,0.22785249194831525,0.2181628487084997
9.406434720662288e-05,4.530952878834046,0.22481373501781665,0.23130198572143362,0.2267278833129538
6.668237096656858e-05,4.6077310842337065,0.22189828312277293,0.22820077429267022,0.22336698967272284
4.339542997420537e-05,4.618481365675779,0.2222222222222222,0.23027347766261724,0.22276531474154554
2.472371601079119e-05,4.618284699843102,0.22610949141561387,0.23691036590203057,0.22658861788796678
1.1084324312190024e-05,4.603499407620774,0.22481373501781665,0.22881605086316534,0.22629498885170213
2.781936350532377e-06,4.611688515574662,0.22351797862001943,0.227389071051439,0.22433057719352173
2.013753598562528e-09,4.576035479909366,0.22092646582442502,0.2275704479984151,0.22195906894247366
